Date,Close/Last,Volume,Open,High,Low
2022-12-09,6.245,139180.0,5.93,6.391,5.794
2022-12-08,5.962,130720.0,5.814,6.164,5.77
2022-12-07,5.723,146826.0,5.388,5.85,5.383
2022-12-06,5.469,120406.0,5.642,5.674,5.337
2022-12-05,5.577,147451.0,5.9,6.052,5.556
2022-12-02,6.281,107309.0,6.829,6.839,6.221
2022-12-01,6.738,88050.0,6.966,7.213,6.708
2022-11-30,6.93,100484.0,7.264,7.305,6.806
2022-11-29,7.235,96199.0,7.319,7.421,7.092
2022-11-28,6.712,3516.0,6.87,6.98,6.5
2022-11-25,7.024,25341.0,7.332,7.4,6.8
2022-11-23,7.308,56297.0,6.9,7.604,6.887
2022-11-22,6.779,67274.0,6.703,6.976,6.457
2022-11-21,6.776,98912.0,6.333,6.837,6.145
2022-11-18,6.303,98003.0,6.383,6.475,6.045
2022-11-17,6.369,102520.0,6.205,6.547,6.162
2022-11-16,6.2,105354.0,6.138,6.25,5.727
2022-11-15,6.034,73136.0,6.065,6.203,5.841
2022-11-14,5.933,106681.0,6.119,6.416,5.89
2022-11-11,5.879,106585.0,6.165,6.505,5.775
2022-11-10,6.239,97512.0,5.95,6.262,5.764
2022-11-09,5.865,121145.0,6.19,6.35,5.715
2022-11-08,6.138,137088.0,6.687,6.823,6.062
2022-11-07,6.944,161685.0,6.98,7.221,6.566
2022-11-04,6.4,113629.0,5.935,6.51,5.893
2022-11-03,5.975,95638.0,6.202,6.218,5.874
2022-11-02,6.268,100922.0,5.829,6.303,5.787
2022-11-01,5.714,131064.0,6.27,6.309,5.614
2022-10-31,6.355,123899.0,5.832,6.4,5.823
2022-10-28,5.684,82794.0,5.848,5.89,5.547
2022-10-27,5.186,1553.0,5.703,5.703,4.948
2022-10-26,5.606,31234.0,5.729,5.748,5.347
2022-10-25,5.613,36894.0,5.187,5.74,5.119
2022-10-24,5.199,63050.0,4.97,5.259,4.75
2022-10-21,4.959,96014.0,5.322,5.375,4.903
2022-10-20,5.358,98706.0,5.456,5.565,5.253
2022-10-19,5.462,98854.0,5.686,5.784,5.427
2022-10-18,5.745,98708.0,5.978,6.095,5.673
2022-10-17,5.999,124841.0,6.263,6.314,5.912
2022-10-14,6.453,91655.0,6.684,6.742,6.409
2022-10-13,6.741,113762.0,6.439,6.777,6.337
2022-10-12,6.435,100321.0,6.601,6.803,6.399
2022-10-11,6.596,91290.0,6.512,6.671,6.362
2022-10-10,6.435,100791.0,6.647,6.901,6.411
2022-10-07,6.748,104687.0,6.856,6.926,6.6
2022-10-06,6.972,105004.0,6.921,7.188,6.856
2022-10-05,6.93,77817.0,6.83,7.022,6.627
2022-10-04,6.837,115181.0,6.526,6.886,6.31
2022-10-03,6.47,96471.0,6.8,6.829,6.305
2022-09-30,6.766,91998.0,6.895,7.044,6.705
2022-09-29,6.874,81561.0,7.029,7.139,6.599
2022-09-28,6.868,1871.0,6.666,6.901,6.456
2022-09-27,6.651,28121.0,6.936,7.12,6.617
2022-09-26,6.903,23487.0,6.844,6.97,6.526
2022-09-23,6.828,66456.0,7.182,7.282,6.737
2022-09-22,7.089,121323.0,7.731,7.776,7.061
2022-09-21,7.779,91032.0,7.735,8.123,7.56
2022-09-20,7.717,75336.0,7.864,7.985,7.647
2022-09-19,7.752,83510.0,7.737,7.923,7.404
2022-09-16,7.764,90747.0,8.298,8.319,7.717
2022-09-15,8.324,122118.0,9.073,9.117,8.204
2022-09-14,9.114,127829.0,8.391,9.238,8.325
2022-09-13,8.284,97217.0,8.381,8.456,8.155
2022-09-12,8.249,92582.0,8.026,8.406,7.855
2022-09-09,7.996,82616.0,7.975,8.205,7.888
2022-09-08,7.915,98166.0,7.841,8.064,7.772
2022-09-07,7.842,122855.0,8.039,8.299,7.751
2022-09-06,8.145,139767.0,9.028,9.126,7.823
2022-09-02,8.786,99528.0,9.19,9.24,8.619
2022-09-01,9.262,89204.0,9.133,9.394,9.01
2022-08-31,9.127,81664.0,9.082,9.284,8.814
2022-08-30,9.042,75323.0,9.262,9.3,8.865
2022-08-29,9.353,1200.0,9.67,9.682,9.034
2022-08-26,9.296,25525.0,9.372,9.668,9.186
2022-08-25,9.375,24092.0,9.239,9.419,9.175
2022-08-24,9.33,45843.0,9.25,9.455,9.1
2022-08-23,9.193,113514.0,9.817,10.028,9.05
2022-08-22,9.68,88110.0,9.174,9.982,9.158
2022-08-19,9.336,65254.0,9.201,9.395,8.87
2022-08-18,9.188,103549.0,9.166,9.663,8.913
2022-08-17,9.244,85379.0,9.362,9.677,9.121
2022-08-16,9.329,99916.0,8.809,9.411,8.785
2022-08-15,8.728,75464.0,8.679,8.936,8.403
2022-08-12,8.768,66723.0,8.717,8.919,8.516
2022-08-11,8.874,127973.0,8.222,8.994,8.178
2022-08-10,8.202,96368.0,7.858,8.267,7.705
2022-08-09,7.833,75746.0,7.666,7.889,7.623
2022-08-08,7.589,95722.0,7.876,7.917,7.532
2022-08-05,8.064,87309.0,8.151,8.248,7.898
2022-08-04,8.122,95534.0,8.281,8.45,7.825
2022-08-03,8.266,126886.0,7.671,8.48,7.55
2022-08-02,7.706,99015.0,8.228,8.233,7.625
2022-08-01,8.283,95599.0,7.91,8.298,7.753
2022-07-29,8.229,72219.0,8.155,8.388,8.01
2022-07-28,8.134,85120.0,8.58,8.845,8.103
2022-07-27,8.687,1885.0,8.881,9.138,8.487
2022-07-26,8.993,30326.0,8.814,9.752,8.75
2022-07-25,8.727,29637.0,8.39,8.874,8.347
2022-07-22,8.299,50519.0,7.892,8.417,7.75
2022-07-21,7.932,93563.0,7.873,8.176,7.606
2022-07-20,8.007,115104.0,7.312,8.04,7.174
2022-07-19,7.264,94668.0,7.432,7.541,7.109
2022-07-18,7.479,84561.0,7.168,7.554,7.078
2022-07-15,7.016,102203.0,6.669,7.144,6.42
2022-07-14,6.6,105682.0,6.598,6.898,6.537
2022-07-13,6.689,108802.0,6.252,6.798,6.201
2022-07-12,6.163,124456.0,6.525,6.786,6.014
2022-07-11,6.426,100594.0,6.446,6.689,6.232
2022-07-08,6.034,91540.0,6.188,6.305,6.012
2022-07-07,6.297,120700.0,5.539,6.381,5.488
2022-07-06,5.51,71435.0,5.46,5.737,5.38
2022-07-05,5.523,107422.0,5.712,5.907,5.325
2022-07-01,5.73,98427.0,5.701,5.95,5.59
2022-06-30,5.424,174306.0,6.428,6.602,5.357
2022-06-29,6.498,78257.0,6.632,6.833,6.405
2022-06-28,6.551,2342.0,6.449,6.765,6.386
2022-06-27,6.501,25981.0,6.126,6.538,6.01
2022-06-24,6.22,23707.0,6.228,6.337,6.021
2022-06-23,6.239,72366.0,6.829,6.84,6.175
2022-06-22,6.858,88446.0,6.844,6.93,6.575
2022-06-21,6.808,113768.0,6.8,6.976,6.554
2022-06-17,6.944,98105.0,7.454,7.588,6.881
2022-06-16,7.464,127927.0,7.54,8.027,7.33
2022-06-15,7.42,116029.0,7.269,7.698,7.201
2022-06-14,7.189,266662.0,8.686,8.889,7.008
2022-06-13,8.609,152721.0,8.92,8.95,8.382
2022-06-10,8.85,119968.0,8.997,9.149,8.622
2022-06-09,8.963,225289.0,8.629,9.036,8.016
2022-06-08,8.699,228418.0,9.335,9.664,8.427
2022-06-07,9.293,114728.0,9.359,9.544,9.2
2022-06-06,9.322,122874.0,8.75,9.4,8.732
2022-06-03,8.523,71100.0,8.412,8.693,8.267
2022-06-02,8.485,113670.0,8.783,9.057,8.377
2022-06-01,8.696,101099.0,8.271,8.791,8.146
2022-05-31,8.145,119734.0,8.874,8.916,8.118
2022-05-27,8.727,103563.0,8.811,8.895,8.285
2022-05-26,8.908,1466.0,8.984,9.401,8.785
2022-05-25,8.971,30671.0,8.831,9.399,8.765
2022-05-24,8.796,29545.0,8.727,8.93,8.605
2022-05-23,8.744,61842.0,8.079,8.822,7.851
2022-05-20,8.083,79975.0,8.112,8.189,7.837
2022-05-19,8.308,86950.0,8.24,8.5,7.905
2022-05-18,8.368,78067.0,8.318,8.548,8.16
2022-05-17,8.304,74061.0,8.016,8.372,8.015
2022-05-16,7.956,89221.0,7.7,8.183,7.663
2022-05-13,7.663,80231.0,7.673,7.919,7.515
2022-05-12,7.739,96489.0,7.637,7.79,7.255
2022-05-11,7.64,111209.0,7.312,7.721,7.296
2022-05-10,7.385,176829.0,7.03,7.463,6.43
2022-05-09,7.026,183970.0,7.843,8.287,6.962
2022-05-06,8.043,157730.0,8.843,8.996,7.957
2022-05-05,8.783,155682.0,8.355,8.913,8.117
2022-05-04,8.415,127096.0,7.815,8.474,7.729
2022-05-03,7.954,148764.0,7.54,8.169,7.539
2022-05-02,7.475,108082.0,7.412,7.617,7.219
2022-04-29,7.244,105427.0,6.939,7.335,6.805
2022-04-28,6.888,136077.0,7.395,7.422,6.879
2022-04-27,7.267,2630.0,6.858,7.344,6.8
2022-04-26,6.85,31569.0,6.836,7.05,6.662
2022-04-25,6.669,29612.0,6.414,6.966,6.345
2022-04-22,6.534,75568.0,6.938,7.08,6.438
2022-04-21,6.957,141338.0,6.825,7.146,6.703
2022-04-20,6.937,153401.0,7.253,7.41,6.791
